,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_vect__min_df,param_vect__ngram_range,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.82133340836,0.85266661644,0.726886145897,0.799906109042,1,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 1}",11,0.727172406912,0.799063558155,0.728434414772,0.799590469895,0.725051567481,0.801064299076,0.0984320598627,0.0422399320227,0.00139579396157,0.000846743609972
1,7.30633338292,1.73133333524,0.745071479789,0.945229848003,1,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 1}",2,0.743641740156,0.944162415511,0.746858415053,0.945683777374,0.744714274709,0.945843351123,0.076847675433,0.034003305661,0.00133727739008,0.000757594895771
2,14.9856666724,2.4683333238,0.746162219973,0.981050061023,1,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 1}",1,0.744434001586,0.980935389868,0.747973101782,0.980988253657,0.746079554363,0.981226539544,0.246011245328,0.0273901687162,0.00144601987649,0.000126641610484
3,5.79533330599,1.18999997775,0.703022840866,0.962751371548,1,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 1}",17,0.70130512319,0.962400795477,0.702947944825,0.962261885101,0.704815502,0.963591434066,0.0926725638067,0.0117758264994,0.00143408121173,0.000596714783279
4,13.5006666978,2.02633333206,0.703674862058,0.985419939035,1,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 1}",16,0.701602953974,0.985120124717,0.703713426216,0.985410985981,0.705708259768,0.985728706408,0.113942548229,0.124687230529,0.00167620220558,0.000248533078585
5,7.96066681544,1.16066654523,0.633486039216,0.9835197696,1,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 1}",26,0.630651247662,0.983078623932,0.635797935346,0.983601185299,0.634008948472,0.983879499568,0.0947148362632,0.0263860605199,0.00213342089313,0.000331985776137
6,2.06466666857,0.82133324941,0.725484515894,0.775241785166,2,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 2}",12,0.725967577305,0.774050608961,0.726575157857,0.774982980239,0.723910770894,0.776691766298,0.0912299835594,0.056629341949,0.00114010093349,0.00109366753418
7,7.26899997393,1.64599998792,0.742807623625,0.852569478371,2,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 2}",4,0.741184730905,0.85165779554,0.744049552144,0.853011432845,0.743188597902,0.853039206727,0.0929659776838,0.0240416863066,0.00120018649763,0.000644756819598
8,14.9759999911,2.42866667112,0.7437503076,0.864500636325,2,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 2}",3,0.741507236279,0.86342201014,0.746182112745,0.86493907775,0.743561568786,0.865140821084,0.176708820195,0.0677069556402,0.00191317915411,0.000767137939653
9,5.52533332507,1.15966669718,0.69703618177,0.841972644088,2,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 2}",19,0.694448270754,0.841418880754,0.698154328747,0.841708879196,0.698505984686,0.842790172314,0.188142360696,0.0246351381315,0.00183556427992,0.000590078567609
10,13.1726666292,2.01300001144,0.697795459076,0.85352176251,2,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 2}",18,0.694293961749,0.85268630115,0.699199536567,0.853350380168,0.699892934392,0.854528606213,0.0926978198682,0.157175088915,0.00249207863286,0.000761818402079
11,7.42599995931,1.20733332634,0.594501077184,0.721664847178,2,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 2}",27,0.591299031601,0.722138427199,0.596482960278,0.721021255958,0.595721271948,0.721834858377,0.0411419768845,0.0751458191787,0.00228545623145,0.000471660719097
12,2.03999996185,0.81166656812,0.724359385046,0.765383725208,3,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 3}",13,0.724586767397,0.764354063295,0.725656838525,0.764611688119,0.722834508882,0.767185424212,0.105464069075,0.0441311198629,0.00116337295189,0.00127832758223
13,7.12400007248,1.67933336894,0.740973885348,0.82071727058,3,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 3}",5,0.73942556735,0.819809920732,0.742622097732,0.820815097434,0.74087398832,0.821526793575,0.056397388521,0.0677560744243,0.00130689415695,0.000704315582942
14,14.7416667144,2.37566661835,0.740727270699,0.826759528756,3,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 3}",6,0.73949580365,0.826161308206,0.743263042815,0.826807159174,0.73942293113,0.827310118889,0.0575750572562,0.0828103157136,0.00179332029998,0.000470207747865
15,5.49466665586,1.15400004387,0.691255959985,0.793186056678,3,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 3}",21,0.689497958743,0.793305200124,0.692407987249,0.792763278954,0.691861949991,0.793489690956,0.155439870463,0.0177952027691,0.00126293197843,0.000308290955114
16,13.1303333441,1.93200000127,0.691850813371,0.799800611524,3,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 3}",20,0.689216571639,0.799926632054,0.693440905544,0.799593810013,0.69289499055,0.799881392506,0.0502415295702,0.129452606705,0.00187598799305,0.000147392453649
17,7.41266671817,1.18466671308,0.56867930041,0.644036778237,3,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 3}",28,0.565513050576,0.644867743433,0.570023210082,0.643652494686,0.570501688775,0.643590096591,0.0493715610857,0.0668048201103,0.00224739674027,0.000588133062421
