,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_logreg__max_iter,param_logreg__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,65.8496665955,2.92500003179,0.759338728527,0.992192474312,100,liblinear,"{'logreg__max_iter': 100, 'logreg__solver': 'liblinear'}",11,0.759235134836,0.992044984413,0.760446693392,0.99230288373,0.758334330786,0.992229554794,2.90472938274,0.294911269099,0.000865472076394,0.000108502645091
1,60.2613333861,2.95466669401,0.757802671297,0.944305175327,100,saga,"{'logreg__max_iter': 100, 'logreg__solver': 'saga'}",20,0.756957680784,0.933132768953,0.758852330731,0.933722624621,0.757597996961,0.966060132406,2.90402208768,0.125300460219,0.000786913961839,0.0153849623673
2,126.010666609,3.10300000509,0.759334285991,0.992192474312,100,newton-cg,"{'logreg__max_iter': 100, 'logreg__solver': 'newton-cg'}",15,0.759248262709,0.992044984413,0.76042023803,0.99230288373,0.758334330786,0.992229554794,3.07569289146,0.155582791807,0.00085373592268,0.000108502645091
3,66.0569999218,2.75566673279,0.759456314261,0.990618567447,100,lbfgs,"{'logreg__max_iter': 100, 'logreg__solver': 'lbfgs'}",7,0.75912850527,0.990391798301,0.76056346465,0.99096709011,0.758676952249,0.990496813928,4.4173573398,0.0891826806397,0.000804289936957,0.000250144099619
4,54.3846666018,2.96033342679,0.75975043965,0.973775725265,100,sag,"{'logreg__max_iter': 100, 'logreg__solver': 'sag'}",2,0.75911655879,0.968169374581,0.760660193333,0.968943571102,0.759474559529,0.984214230111,4.12427730908,0.377537943206,0.000659690848868,0.00738790148993
5,56.0916666985,2.76200000445,0.759338728527,0.992192474312,200,liblinear,"{'logreg__max_iter': 200, 'logreg__solver': 'liblinear'}",11,0.759235134836,0.992044984413,0.760446693392,0.99230288373,0.758334330786,0.992229554794,2.08543543599,0.0229056988175,0.000865472076394,0.000108502645091
6,90.2786666552,2.78433330854,0.759689637338,0.973711791486,200,saga,"{'logreg__max_iter': 200, 'logreg__solver': 'saga'}",3,0.759049912297,0.968090023129,0.760716018865,0.968884027025,0.759302970625,0.984161324305,0.576616749355,0.141367918299,0.000733082208861,0.0073960423042
7,130.977666696,2.89899992943,0.759334285991,0.992192474312,200,newton-cg,"{'logreg__max_iter': 200, 'logreg__solver': 'newton-cg'}",15,0.759248262709,0.992044984413,0.76042023803,0.99230288373,0.758334330786,0.992229554794,8.17728036592,0.28638900477,0.00085373592268,0.000108502645091
8,110.706333399,2.66666658719,0.759386122291,0.992132958796,200,lbfgs,"{'logreg__max_iter': 200, 'logreg__solver': 'lbfgs'}",9,0.759458704204,0.991972244795,0.760381387924,0.992249979793,0.758318246498,0.992176651801,10.9778651422,0.224982006636,0.000843834343139,0.000117518768033
9,93.65533336,3.00566665332,0.759663744688,0.986505460964,200,sag,"{'logreg__max_iter': 200, 'logreg__solver': 'sag'}",4,0.75916251229,0.98454617435,0.761005493346,0.984764356186,0.758823206195,0.990205852357,1.4052761207,0.33632949718,0.000958824621617,0.00261808749153
10,61.7790000439,2.78700002035,0.759338728527,0.992192474312,300,liblinear,"{'logreg__max_iter': 300, 'logreg__solver': 'liblinear'}",11,0.759235134836,0.992044984413,0.760446693392,0.99230288373,0.758334330786,0.992229554794,2.97984829422,0.31090948363,0.000865472076394,0.000108502645091
11,130.231000026,2.63166666031,0.759877819894,0.982545879376,300,saga,"{'logreg__max_iter': 300, 'logreg__solver': 'saga'}",1,0.759522368924,0.9796175899,0.76098887617,0.979593144727,0.7591221946,0.9884269035,0.492867084931,0.262534139186,0.000802446873767,0.00415852401354
12,129.953333378,2.91066670418,0.759334285991,0.992192474312,300,newton-cg,"{'logreg__max_iter': 300, 'logreg__solver': 'newton-cg'}",15,0.759248262709,0.992044984413,0.76042023803,0.99230288373,0.758334330786,0.992229554794,9.62194254097,0.265857434715,0.00085373592268,0.000108502645091
13,159.223666668,2.8383333683,0.75932096486,0.992190269934,300,lbfgs,"{'logreg__max_iter': 300, 'logreg__solver': 'lbfgs'}",19,0.759221806474,0.992038371279,0.760406731222,0.99230288373,0.758334330786,0.992229554794,12.8991020771,0.191092081966,0.0008489525091,0.000111502419302
14,129.980666637,3.04133327802,0.75959644275,0.98967961519,300,sag,"{'logreg__max_iter': 300, 'logreg__solver': 'sag'}",5,0.759217934446,0.988718797775,0.761130375885,0.988824576978,0.758440987358,0.991495470817,2.80261312259,0.23192292267,0.00113008775884,0.00128472981697
15,55.5903333028,2.86033336322,0.759338728527,0.992192474312,500,liblinear,"{'logreg__max_iter': 500, 'logreg__solver': 'liblinear'}",11,0.759235134836,0.992044984413,0.760446693392,0.99230288373,0.758334330786,0.992229554794,2.86115559594,0.0679231963719,0.000865472076394,0.000108502645091
16,201.329333305,2.84100000064,0.759453460812,0.98848490054,500,saga,"{'logreg__max_iter': 500, 'logreg__solver': 'saga'}",8,0.759110230324,0.987098687983,0.760848964491,0.98735654917,0.758401159786,0.990999464467,0.314019401124,0.102179547121,0.00102836015375,0.00178117880565
17,124.710999966,2.95766663551,0.759334285991,0.992192474312,500,newton-cg,"{'logreg__max_iter': 500, 'logreg__solver': 'newton-cg'}",15,0.759248262709,0.992044984413,0.76042023803,0.99230288373,0.758334330786,0.992229554794,4.77442509827,0.204491689852,0.00085373592268,0.000108502645091
