,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_vect__min_df,param_vect__ngram_range,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,40.3473332723,0.818666776021,0.71688757664,0.859570160148,1,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 1}",8,0.716667301748,0.859649042544,0.716692892467,0.859728306646,0.717302546682,0.859333131253,0.0949713129511,0.0190671319056,0.000293610181851,0.000170699975204
1,64.0830000242,1.87566669782,0.738103527725,0.99467246784,1,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 1}",2,0.737655064926,0.994736362225,0.738636146038,0.99479588079,0.738019369985,0.994485160506,3.32352465647,0.0461615175665,0.000404922965582,0.000134656706866
2,91.4086666107,2.77266661326,0.746972902413,0.995657621799,1,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 1}",1,0.747273493576,0.99565551618,0.74759784771,0.995516646447,0.74604734147,0.99580070277,1.10970542941,0.0830154466823,0.00066772346204,0.000115975065928
3,35.2643333276,1.36633324623,0.691784452603,0.99254426861,1,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 1}",17,0.692796013865,0.992453849313,0.689960243414,0.992572899748,0.692597122024,0.992606056769,2.57148727542,0.0355372044699,0.00129247226373,6.53533166446e-05
4,83.5023333232,2.21600000064,0.69866683801,0.993395245905,1,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 1}",16,0.697743976976,0.993379791328,0.698886484553,0.993300405337,0.699370071102,0.99350554105,7.21844313306,0.0160622829324,0.00068177539963,8.44562930212e-05
5,35.2186667124,1.16833329201,0.625730325504,0.986397084745,1,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 1}",26,0.623389694998,0.986127878802,0.62828928786,0.986379380722,0.625511987879,0.986683994712,2.08396037721,0.0334797825959,0.002006208366,0.000227378247037
6,37.9416666826,0.851666688919,0.717544940631,0.816197222331,2,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 2}",6,0.718083968225,0.815224491296,0.717001365348,0.816077174628,0.71754948844,0.817290001068,0.688106682729,0.00928562098777,0.000441984420545,0.000847502701079
7,44.3106664817,1.80333344142,0.720441941711,0.980827871279,2,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 2}",4,0.718656397891,0.980830011043,0.719996610604,0.980988648404,0.722672875647,0.98066495439,0.578112016314,0.0391946531964,0.00166968009408,0.000132156189594
8,58.4963332812,2.61399992307,0.722527694331,0.987462493789,2,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 2}",3,0.721081172067,0.987740177462,0.722598664232,0.98753515693,0.723903283078,0.987112146974,0.458281129148,0.0662168842201,0.00115321187899,0.00026148999012
9,26.8160000642,1.33866667747,0.675252863031,0.941923119462,2,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 2}",19,0.673712632175,0.941635650338,0.675009259063,0.942630538976,0.67703674504,0.941503169072,6.32229838355,0.0719506342218,0.0013679491132,0.000503136560815
10,45.7099999587,2.13900009791,0.676098703478,0.959319440458,2,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 2}",18,0.675022872583,0.95920389438,0.675540035916,0.959635661676,0.67773324517,0.959118765319,4.96259327663,0.0397324869856,0.00117490622978,0.000226286887105
11,23.9406666756,1.18599994977,0.585307395567,0.765908276539,2,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 2}",27,0.583732570759,0.765519665609,0.586239764505,0.766024230312,0.585949868432,0.766180933695,3.09718390704,0.0614707851335,0.00111984800254,0.000282138061504
12,37.4129998684,0.872333367666,0.716784853829,0.796680385688,3,"(1, 1)","{'vect__ngram_range': (1, 1), 'vect__min_df': 3}",9,0.716587271918,0.795463376113,0.716616724865,0.797240735445,0.717150574379,0.797337045507,0.508099067141,0.0640954831416,0.000258879454196,0.00086145347604
13,37.1333332856,1.70833341281,0.716682008841,0.948401468962,3,"(1, 2)","{'vect__ngram_range': (1, 2), 'vect__min_df': 3}",10,0.715888061248,0.948474305374,0.716602815864,0.948149777493,0.717555172507,0.948580324019,4.92374315898,0.0653213860364,0.000682893662628,0.00018316010298
14,50.1803332965,2.48433327675,0.716150845744,0.965675696053,3,"(1, 3)","{'vect__ngram_range': (1, 3), 'vect__min_df': 3}",12,0.715914268515,0.965938046314,0.715829624414,0.965587197861,0.716708659058,0.965501843984,0.478208644362,0.0490872069311,0.000395939194492,0.000188753923887
15,20.2640000184,1.30266666412,0.671182380341,0.875763003205,3,"(2, 2)","{'vect__ngram_range': (2, 2), 'vect__min_df': 3}",21,0.671349658588,0.875940618499,0.670520820857,0.875337513809,0.671676674654,0.876010877307,0.785693717599,0.0854414190067,0.000486473578234,0.000302230590338
16,42.1066667239,2.06933323542,0.671272252884,0.907121179375,3,"(2, 3)","{'vect__ngram_range': (2, 3), 'vect__min_df': 3}",20,0.671152298068,0.908049529274,0.670655452889,0.90636187895,0.672009027182,0.906952129899,1.65538968224,0.0746652254267,0.000559065191764,0.000699273050255
17,20.0256667137,1.13299997648,0.56384809151,0.66420755928,3,"(3, 3)","{'vect__ngram_range': (3, 3), 'vect__min_df': 3}",28,0.560480391704,0.664341078094,0.567215183993,0.664256966297,0.563848698849,0.66402463345,0.652004759373,0.0112249444634,0.0027494795929,0.000133828480186
