,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_logreg__C,param_logreg__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,39.1106666724,2.75666658084,0.753950706708,0.911344539843,0.10000000000000001,liblinear,"{'logreg__C': 0.10000000000000001, 'logreg__solver': 'liblinear'}",48,0.752527483785,0.910514826966,0.756641596924,0.911991453907,0.752683005883,0.911527338656,1.6765130728,0.291955908736,0.00190381830275,0.000616532418751
1,53.3593334357,2.83033331235,0.752522229578,0.898332861671,0.10000000000000001,saga,"{'logreg__C': 0.10000000000000001, 'logreg__solver': 'saga'}",50,0.750417993091,0.892929233747,0.754944549393,0.894387236376,0.752204137838,0.907682114889,0.771423950102,0.284728423957,0.00186160466858,0.0066376624763
2,75.5130000909,2.8309999307,0.753959261176,0.911335705497,0.10000000000000001,newton-cg,"{'logreg__C': 0.10000000000000001, 'logreg__solver': 'newton-cg'}",47,0.752527483785,0.910508190047,0.756641175805,0.911964995118,0.752709090871,0.911533931325,3.57904163078,0.136696780917,0.00189786127846,0.00061103211219
3,64.3163332939,2.7903333505,0.754037887589,0.911379688183,0.10000000000000001,lbfgs,"{'logreg__C': 0.10000000000000001, 'logreg__solver': 'lbfgs'}",46,0.752553109828,0.910461908472,0.756773565547,0.912017742981,0.752786954303,0.911659413096,1.51524926825,0.306283501462,0.00193678348516,0.000665251719185
4,47.0506667296,2.81699999173,0.753733614001,0.909409724919,0.10000000000000001,sag,"{'logreg__C': 0.10000000000000001, 'logreg__solver': 'sag'}",49,0.752370742707,0.908052786276,0.756267946751,0.909258325733,0.752562121558,0.910918062747,3.12598209956,0.0484630689639,0.00179375806664,0.00117463287829
5,40.2996666431,2.83699997266,0.758129553584,0.955177957649,0.20000000000000001,liblinear,"{'logreg__C': 0.20000000000000001, 'logreg__solver': 'liblinear'}",33,0.757888849506,0.954683638843,0.759775205297,0.955584007023,0.756724568786,0.955266227082,1.56736141476,0.130445425848,0.00125699110009,0.000372835383113
6,51.5013333162,2.78800002734,0.755776252919,0.924103540505,0.20000000000000001,saga,"{'logreg__C': 0.20000000000000001, 'logreg__solver': 'saga'}",45,0.7541472645,0.915016752749,0.757530060521,0.91625561444,0.755651430432,0.941038254326,1.4377840221,0.153954587153,0.00138384431555,0.0119853269661
7,98.1093332767,2.89066672325,0.758125092479,0.955180159617,0.20000000000000001,newton-cg,"{'logreg__C': 0.20000000000000001, 'logreg__solver': 'newton-cg'}",34,0.757875793501,0.954690244746,0.759775205297,0.955584007023,0.756724241586,0.955266227082,4.72337683778,0.389093237287,0.00125796071342,0.000369917520678
8,62.6069999536,2.62499992053,0.758060912932,0.955021261172,0.20000000000000001,lbfgs,"{'logreg__C': 0.20000000000000001, 'logreg__solver': 'lbfgs'}",35,0.757896852154,0.954365793928,0.759693616184,0.955306113414,0.756592231609,0.955391876174,7.81031366993,0.243085703499,0.00127143572098,0.000464805904825
9,53.7980000178,2.75299994151,0.757499333085,0.946735475568,0.20000000000000001,sag,"{'logreg__C': 0.20000000000000001, 'logreg__solver': 'sag'}",42,0.757295938997,0.943213763056,0.758612103423,0.943737247674,0.756589932779,0.953255415975,2.4291434778,0.508482014853,0.000837980229782,0.00461524475446
10,48.7956665357,2.5916668574,0.759364105245,0.972724259365,0.30000000000000004,liblinear,"{'logreg__C': 0.30000000000000004, 'logreg__solver': 'liblinear'}",26,0.75925022255,0.972428716515,0.760966637533,0.973017469856,0.757875416275,0.972726591723,0.623304225611,0.314898211796,0.00126454966035,0.00024036320312
11,52.171333313,2.76733334859,0.756801397982,0.932860811495,0.30000000000000004,saga,"{'logreg__C': 0.30000000000000004, 'logreg__solver': 'saga'}",44,0.755326491765,0.922652663309,0.758346339311,0.923699430944,0.756731361017,0.952230340231,1.52662906613,0.150005228671,0.00123384728553,0.0137029902629
12,99.1679999828,2.99333333969,0.759364219874,0.972722053554,0.30000000000000004,newton-cg,"{'logreg__C': 0.30000000000000004, 'logreg__solver': 'newton-cg'}",25,0.759277022231,0.972428716515,0.760953570399,0.973010852423,0.757862027258,0.972726591723,4.97211245873,0.226365936197,0.00126361963195,0.000237677653233
13,63.3413333893,2.94533332189,0.759276570519,0.971639374622,0.30000000000000004,lbfgs,"{'logreg__C': 0.30000000000000004, 'logreg__solver': 'lbfgs'}",30,0.758995269072,0.971165262146,0.760922899682,0.971733884147,0.757911506698,0.972018977572,5.61617727707,0.250141641655,0.00124538095758,0.000354877016069
14,50.7173333168,2.68566672007,0.758647052368,0.959428336053,0.30000000000000004,sag,"{'logreg__C': 0.30000000000000004, 'logreg__solver': 'sag'}",32,0.758202276191,0.954418845365,0.759944718284,0.955325917996,0.757794140069,0.968540244798,0.885491345332,0.0824877000958,0.000932599562036,0.00645372532832
15,45.4749999841,2.79866663615,0.759987317366,0.980911851314,0.40000000000000002,liblinear,"{'logreg__C': 0.40000000000000002, 'logreg__solver': 'liblinear'}",6,0.760245962504,0.980656041803,0.760996936939,0.980999945517,0.758719019107,0.981079566623,1.93246796295,0.153762403422,0.000947767670903,0.00018378204449
16,51.6503333251,2.7816666762,0.757107178272,0.937041803004,0.40000000000000002,saga,"{'logreg__C': 0.40000000000000002, 'logreg__solver': 'saga'}",43,0.755806036961,0.926437557469,0.758620260514,0.927344896108,0.756895231735,0.957342955435,1.52364269093,0.0984017445609,0.00115864032927,0.0143598609181
